800.0183716	0.000948306	0.003453526	0.007812946	1.818170286	
799.0457153	0.001760444	0.005691324	0.009053945	1.859235714		
797.9337158	0.002119478	0.004167198	0.009815171	2.081756857		
796.9602661	-0.000192911	0.003522807	0.009621239	2.591716114		
795.9864502	-0.000479764	0.004459779	0.008660772	2.329322114		
795.012207	0.001400123	0.004792758	0.008346321	1.790763143		
794.0376587	0.000472883	0.004324144	0.009606366	2.389494514		
793.0626831	2.25E-05	0.002211858	0.008247693	2.224948971		
791.947998	-0.000436011	0.004332615	0.008159031	2.183233371		
790.972229	-0.000611514	0.003783488	0.008351467	2.309708743		
789.9961548	-0.000319005	0.003612825	0.008703765	2.353258286		
789.0196533	-0.00234967	0.00240191	0.007247244	2.470456571		
788.0427856	-0.000369391	0.004227863	0.00774556	2.0558572		
787.0654907	-0.000569222	0.001420951	0.006162388	1.809592971		
785.9482422	-0.002395547	0.003831277	0.005418015	1.876627771		
784.9701538	-0.001806598	0.004835134	0.007891072	2.391235314		
783.9917603	-0.003373679	0.001131603	0.006244235	2.490530743		
783.0130005	0.00021053	0.001244255	0.007356965	1.982768571		
782.0338135	-0.001593203	0.003557987	0.006219209	1.937764		
781.0543213	-0.001126545	0.003543607	0.00545618	1.613912743		
779.9344482	-0.001130882	0.002159201	0.00786263	2.381570114		
778.9541016	-0.000601536	0.002069614	0.005541617	1.602549429		
777.9734497	-0.001312091	0.002489925	0.006073809	1.892999086		
776.9923706	-0.00369345	0.002056272	0.00522601	2.2198616		
776.0109863	-0.002188416	0.002002541	0.005573316	1.978154457		
775.0291748	-0.001729101	0.000285124	0.006115392	2.126185143		
774.0470581	-0.001847584	0.00131425	0.007686878	2.543455771		
773.0645752	-0.001912174	0.000886671	0.006227849	2.165786857		
771.9412231	-0.001473154	0.001247708	0.005249197	1.765193886		
770.9579468	-0.001561943	0.001716131	0.006150652	2.016280057		
769.9743042	-0.002235032	0.000542494	0.006789384	2.4196888		
768.9902954	-0.002976346	0.00055732	0.006571805	2.526119371		
768.0059204	-0.003067398	0.00057593	0.005134322	2.1351584		
767.0211792	-0.002718355	-0.000210402	0.005020184	2.067699543		
766.0360718	-0.003624709	-0.000214956	0.005632919	2.450193543		
765.0505981	-0.002797373	0.000552032	0.005826521	2.272575143		
764.0647583	-0.002933255	0.0007432	0.004547924	1.927396571		
762.9376831	-0.003714188	-0.00015565	0.004335569	2.096585543		
761.9510498	-0.002515084	0.000224722	0.003390308	1.530694514		
760.9641113	-0.003516057	-0.000772888	0.004583344	2.157362057		
759.9768066	-0.004365656	0.000482316	0.005640314	2.5818216		
758.9891357	-0.004430128	-0.000934409	0.003413997	2.0414232		
758.0010986	-0.003998521	-0.000261318	0.00340771	1.902511543		
757.0126953	-0.003942449	-0.000244554	0.00344001	1.897965714		
756.0239258	-0.00438508	-0.001225884	0.003022663	1.935972514		
755.03479	-0.00494613	-5.46E-05	0.003002801	1.991607143		
754.0453491	-0.005650283	-0.001066279	0.003176093	2.259878629		
753.055542	-0.005733113	-0.002073272	0.003777691	2.5082388		
752.0653687	-0.00533824	-0.002105835	0.002246203	1.982274857		
750.9332886	-0.005241013	-0.00250273	0.003183186	2.250440686		
749.9423828	-0.004866478	-0.002690828	0.002405528	1.953393143		
748.9510498	-0.005711194	-0.001742766	0.002363076	2.080166971		
747.9594116	-0.006210468	-0.002801179	0.002142916	2.191864629		
746.9674072	-0.006886486	-0.00410895	0.001430768	2.217641943		
745.9750977	-0.006920626	-0.002357085	0.000646621	1.9012968		
744.9823608	-0.006319724	-0.003723685	0.001766578	2.162026914		
743.9893188	-0.007421872	-0.004307017	0.000616705	2.118744571		
742.9959106	-0.007609429	-0.004039146	0.001298905	2.341222114		
742.0021362	-0.007144611	-0.004474096	0.001297918	2.259550286		
741.0080566	-0.008267934	-0.004412602	0.001249811	2.499051029		
740.0136108	-0.008397292	-0.004549414	-0.000637672	1.997155543		
739.0187988	-0.009029659	-0.004707539	-0.000409064	2.216048857		
738.0236206	-0.008691415	-0.005565087	-0.000142401	2.263928114		
737.0281372	-0.008533109	-0.005530022	-9.58E-06	2.263689029		
736.0322876	-0.009149106	-0.00548427	-0.000765653	2.185853086		
735.0360718	-0.009076357	-0.004975868	-5.84E-05	2.342245486		
734.0395508	-0.008100633	-0.005242804	-0.000770252	1.931090057		
733.0426636	-0.009100642	-0.004825776	-0.000562552	2.195176229		
732.0454102	-0.008805122	-0.004960667	-0.000383978	2.186358		
731.0478516	-0.008686086	-0.005709149	-0.000287394	2.2295156		
730.0498657	-0.009728694	-0.005836615	-0.00144137	2.145402343		
729.0516357	-0.009545444	-0.006446092	-0.000848128	2.3078416		
728.0529785	-0.010631615	-0.006901161	-0.002924358	1.988904629		
727.0540161	-0.01177338	-0.007740305	-0.003164188	2.229307714		
726.0547485	-0.012646017	-0.008360221	-0.003323435	2.418692229		
725.0551147	-0.012758944	-0.009217232	-0.004235502	2.2328856		
724.0551147	-0.013414965	-0.009658573	-0.004917824	2.2131036		
723.0547485	-0.013714539	-0.010040181	-0.006272779	1.916253829		
722.0540771	-0.014259765	-0.010954874	-0.006332939	2.075956514		
721.0531006	-0.013890824	-0.010410888	-0.005856127	2.096774229		
720.0517578	-0.014158101	-0.010441821	-0.005881155	2.152482857		
719.0500488	-0.014200242	-0.010825721	-0.00545017	2.3071908		
