305nm,,280nm_bp,,280nm,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
690.9458618,89.11683655,690.9458618,-0.07963897288,690.9458618,89.12822723,
689.9350586,89.06425476,689.9350586,-0.1097213104,689.9350586,89.11876678,
689.0684204,88.90461731,689.0684204,0.03518825769,689.0684204,88.97534943,
688.0570068,88.65982056,688.0570068,0.02007718571,688.0570068,88.47222137,
687.0452881,88.51101685,687.0452881,-0.01622323133,687.0452881,88.73527527,
686.0332642,88.60661316,686.0332642,-0.01608686894,686.0332642,88.61599731,
685.020874,88.58545685,685.020874,0.007967174985,685.020874,88.44838715,
684.0081787,88.44223785,684.0081787,-0.08714820445,684.0081787,88.51306915,
682.9951782,88.35837555,682.9951782,-0.02897710912,682.9951782,88.41526031,
681.9818726,88.30646515,681.9818726,-0.05636791512,681.9818726,88.10009003,
680.9682007,88.05680847,680.9682007,-0.01743147336,680.9682007,88.08760834,
679.9542236,88.00289154,679.9542236,-0.05055147409,679.9542236,88.07829285,
678.9398804,88.15690613,678.9398804,-0.03330373019,678.9398804,88.0243454,
678.0702515,87.96466827,678.0702515,0.02302114107,678.0702515,88.01200867,
677.0553589,87.92063904,677.0553589,0.08938779682,677.0553589,87.88645172,
676.0401001,87.73139954,676.0401001,-0.06387921423,676.0401001,87.7006073,
675.0245972,87.87475586,675.0245972,-0.01940315776,675.0245972,87.71044922,
674.008728,87.81469727,674.008728,-0.07421295345,674.008728,87.80408478,
672.9925537,87.90292358,672.9925537,-0.08671920747,672.9925537,87.78591919,
671.9760742,87.75396729,671.9760742,-0.07596538961,671.9760742,87.87770081,
670.9592896,87.83218384,670.9592896,0.05793742463,670.9592896,87.77729034,
669.9421387,87.75662994,669.9421387,0.02988754772,669.9421387,87.88041687,
669.0700684,87.73907471,669.0700684,-0.07530930638,669.0700684,87.57137299,
668.0523682,87.87992859,668.0523682,-0.1044386402,668.0523682,87.70574951,
667.0343018,87.94540405,667.0343018,-0.01886169612,667.0343018,87.88418579,
666.0159912,88.10712433,666.0159912,-0.08416564018,666.0159912,88.04476166,
664.9973145,87.94113922,664.9973145,-0.06734655052,664.9973145,88.07336426,
663.9783936,88.12006378,663.9783936,-0.003421494039,663.9783936,87.98167419,
662.9591064,88.25305176,662.9591064,-0.06935095787,662.9591064,88.21513367,
661.9395142,88.23687744,661.9395142,-0.0371574536,661.9395142,88.25424957,
661.0653076,88.33050537,661.0653076,-0.01883948781,661.0653076,88.04303741,
660.045105,88.28450775,660.045105,-0.01323837042,660.045105,88.17360687,
659.0246582,88.33905029,659.0246582,0.01136848051,659.0246582,88.27846527,
658.0038452,88.44116211,658.0038452,0.04646408185,658.0038452,88.24903107,
656.9827271,88.33935547,656.9827271,-0.006608730648,656.9827271,88.31674194,
655.9613037,88.329422,655.9613037,0.02552214079,655.9613037,88.2081604,
654.9395752,88.35735321,654.9395752,-0.03683693707,654.9395752,88.27650452,
654.0635376,88.39461517,654.0635376,-0.02518997341,654.0635376,88.26557159,
653.0412598,88.3742218,653.0412598,-0.1070837528,653.0412598,88.2650528,
652.0186768,88.42597198,652.0186768,-0.004303296562,652.0186768,88.37223053,
650.9957275,88.22246552,650.9957275,-0.09985504299,650.9957275,88.35823059,
649.9724731,88.36171722,649.9724731,-0.03324357793,649.9724731,88.33132935,
648.9489746,88.26747894,648.9489746,0,648.9489746,88.46461487,
648.0714111,88.34431458,648.0714111,0.02063060924,648.0714111,88.29753113,
647.0473022,88.36503601,647.0473022,-0.1225490272,647.0473022,88.38549042,
646.0228882,88.33243561,646.0228882,-0.1027001515,646.0228882,88.34867859,
644.9981689,88.38884735,644.9981689,-0.1158694848,644.9981689,88.36110687,
643.9731445,88.26668549,643.9731445,0.04012611136,643.9731445,88.27935791,
642.947876,88.42694855,642.947876,0.007343761623,642.947876,88.36608887,
642.0687866,88.31082153,642.0687866,-0.01037882641,642.0687866,88.17156219,
641.0429077,88.14515686,641.0429077,-0.0161990542,641.0429077,88.27310181,
640.0167236,88.48771667,640.0167236,0.003198157763,640.0167236,88.22236633,
638.9902344,88.40908051,638.9902344,0.0192715358,638.9902344,88.23390961,
637.9634399,88.44332123,637.9634399,-0.01941559091,637.9634399,88.13433838,
636.9363403,88.38661194,636.9363403,0.003857875708,636.9363403,88.3264389,
636.0557251,88.33003998,636.0557251,-0.07358636707,636.0557251,88.32019043,
635.0280762,88.34759521,635.0280762,-0.06366477162,635.0280762,88.37892151,
634.0001221,88.38648224,634.0001221,0.02138671465,634.0001221,88.28664398,
632.9718628,88.29006195,632.9718628,0.06525410712,632.9718628,88.31868744,
631.9433594,88.4621048,631.9433594,0.005851204041,631.9433594,88.371521,
631.0614624,88.2675705,631.0614624,0.003738597268,631.0614624,88.3884964,
630.0324097,88.33090973,630.0324097,0.003686635988,630.0324097,88.18687439,
629.0029907,88.22673035,629.0029907,0.04019439593,629.0029907,88.37823486,
627.9732666,88.4413147,627.9732666,0.0396982953,627.9732666,88.31369019,
626.9432983,88.39178467,626.9432983,-0.07044493407,626.9432983,88.2728653,
626.0602417,88.36716461,626.0602417,0.02892263234,626.0602417,88.34171295,
625.0296631,88.41054535,625.0296631,-0.05303984508,625.0296631,88.34114075,
623.9988403,88.46611023,623.9988403,-0.1129019633,623.9988403,88.33607483,
622.9677124,88.30041504,622.9677124,-0.02084056847,622.9677124,88.28879547,
621.9362793,88.3218689,621.9362793,0.1028466523,621.9362793,88.25230408,
621.052002,88.45942688,621.052002,-0.04936878756,621.052002,88.1446228,
620.0200195,88.3844223,620.0200195,0.1066301167,620.0200195,88.2518692,
618.9877319,88.29186249,618.9877319,-0.06751234829,618.9877319,88.40870667,
617.9552002,88.47447968,617.9552002,-0.08849859238,617.9552002,88.35014343,
617.0698853,88.2667923,617.0698853,0.006505122874,617.0698853,88.4254837,
616.0368042,88.40602112,616.0368042,0.07357063144,616.0368042,88.20993042,
615.003418,88.47291565,615.003418,0.05984596163,615.003418,88.26750183,
613.9697266,88.36347961,613.9697266,-0.003130870406,613.9697266,88.38630676,
